"","BreachMonth","1m","2m","3m","4m","5m","6m","7m","8m","9m","10m","11m","12m"
"1","2018-01",8,8,5,1,0,0,0,0,0,0,0,0
"2","2018-02",2,4,1,0,0,0,0,0,0,0,0,2
"3","2018-03",6,1,7,0,1,0,2,0,0,0,0,1
"4","2018-04",8,4,4,0,0,0,0,1,0,1,0,1
"5","2018-05",14,5,5,1,3,1,1,0,1,2,3,3
"6","2018-06",10,3,3,4,0,0,0,1,0,0,1,3
"7","2018-07",2,3,2,1,2,2,0,0,1,0,1,1
"8","2018-08",5,0,4,2,1,2,0,1,1,0,8,34
"9","2018-09",11,3,7,2,2,4,0,1,1,0,0,1
"10","2018-10",8,4,5,2,0,0,11,0,0,0,0,2
"11","2018-11",11,8,3,0,3,0,1,0,0,0,0,4
"12","2018-12",8,6,7,2,1,1,0,0,0,0,0,2
"13","2019-01",4,10,5,4,3,0,0,0,1,0,0,1
"14","2019-02",6,9,2,1,1,0,0,0,1,1,0,1
"15","2019-03",9,6,2,3,2,0,2,1,1,0,0,1
"16","2019-04",13,6,6,4,2,2,2,0,0,0,0,1
"17","2019-05",12,6,7,0,1,2,2,0,1,0,0,2
"18","2019-06",12,6,5,0,0,4,1,1,2,0,0,2
"19","2019-07",14,5,4,21,4,0,3,4,1,0,0,0
"20","2019-08",11,8,6,1,0,3,1,0,1,0,0,0
"21","2019-09",9,4,8,1,1,0,0,0,1,0,0,1
"22","2019-10",15,6,4,2,1,0,0,1,0,0,0,2
"23","2019-11",9,4,7,0,0,2,0,0,0,1,0,0
"24","2019-12",11,1,5,0,2,2,1,0,0,0,2,1
"25","2020-01",14,10,6,1,2,1,2,1,0,0,0,2
"26","2020-02",10,3,5,5,0,3,5,46,11,1,6,4
"27","2020-03",9,12,2,0,0,1,0,0,1,0,0,0
"28","2020-04",9,5,8,2,0,3,1,0,0,0,1,4
"29","2020-05",2,4,6,1,2,0,2,0,0,2,1,0
"30","2020-06",13,2,1,1,0,0,3,0,1,0,0,3
"31","2020-07",2,4,4,2,0,1,1,1,0,1,0,2
"32","2020-08",3,2,5,3,0,1,3,1,0,0,0,2
"33","2020-09",0,7,4,0,2,4,2,2,0,1,0,3
"34","2020-10",10,7,4,2,0,1,0,0,1,0,0,1
"35","2020-11",5,3,1,2,1,0,2,1,1,0,0,0
"36","2020-12",7,3,7,2,1,2,1,2,1,0,1,1
"37","2021-01",3,5,10,1,2,0,0,0,0,0,0,1
"38","2021-02",10,0,17,9,6,1,2,0,0,0,1,2
"39","2021-03",6,2,4,1,1,1,13,2,0,1,0,2
"40","2021-04",4,3,7,6,0,1,0,0,0,0,1,2
"41","2021-05",6,4,3,2,1,0,2,1,0,0,0,5
"42","2021-06",12,2,5,2,0,3,1,2,0,0,0,1
"43","2021-07",6,3,0,0,4,3,1,0,2,0,0,6
"44","2021-08",6,2,4,0,0,0,1,1,0,1,0,5
"45","2021-09",2,3,4,0,1,3,0,2,1,1,2,1
"46","2021-10",7,4,5,3,2,2,0,0,3,3,0,2
"47","2021-11",5,3,4,4,2,2,0,1,1,1,0,4
"48","2021-12",8,3,6,2,5,13,18,1,0,1,1,0
"49","2022-01",1,6,2,3,1,2,5,0,4,1,0,1
"50","2022-02",5,4,2,1,4,0,0,1,2,0,3,2
"51","2022-03",2,6,10,6,1,0,1,0,0,0,0,2
"52","2022-04",5,4,5,1,1,1,0,0,0,0,0,0
"53","2022-05",3,6,4,4,5,1,0,1,0,0,0,2
"54","2022-06",8,2,17,3,1,1,2,1,1,0,1,0
"55","2022-07",6,2,18,8,1,1,2,1,0,1,0,0
"56","2022-08",17,3,3,4,2,1,0,0,1,0,0,1
"57","2022-09",11,2,5,5,0,0,1,0,0,0,0,1
"58","2022-10",11,4,2,0,1,1,2,2,0,0,0,0
"59","2022-11",15,3,1,2,2,1,0,1,0,0,0,0
"60","2022-12",4,4,6,1,0,0,1,2,0,0,0,1
"61","2023-01",13,8,6,2,2,0,1,1,1,0,0,0
"62","2023-02",8,5,7,0,4,0,3,2,1,1,0,0
"63","2023-03",4,8,11,6,2,3,3,3,1,2,0,0
"64","2023-04",9,5,9,0,3,1,2,1,0,0,0,0
"65","2023-05",7,7,17,4,5,4,4,1,0,0,0,0
"66","2023-06",4,1,9,2,1,1,1,0,0,0,0,0
"67","2023-07",2,1,10,2,0,2,0,0,0,0,0,0
"68","2023-08",8,1,7,0,2,0,0,0,0,0,0,0
"69","2023-09",5,3,6,2,0,0,0,0,0,0,0,0
"70","2023-10",15,6,5,0,0,0,0,0,0,0,0,0
"71","2023-11",9,3,0,0,0,0,0,0,0,0,0,0
"72","2023-12",2,0,0,0,0,0,0,0,0,0,0,0
"73","2024-01",1,0,0,0,0,0,0,0,0,0,0,0
